word,meanings,score
Q Is for Quarry,"獲物のQ,えもののきゅう",0
Q&A,"Q&A,きゅう&えー",0
Q-Celtic,"Qケルト語(の),きゅうけるとご(の)",0
Q-fever,"Q熱,きゅうねつ",0
Q-ship,"《米軍》偽装軍艦,《べいぐん》ぎそうぐんかん_偽装商船,ぎそうしょうせん_武装商船,ぶそうしょうせん",0
Q-sign,"〈米俗〉〔死人の〕丸く開いて舌を出している口,〈こめぞく〉〔しにんの〕まるくひらいてしたをだしているくち",0
Q-Tip,"綿棒,めんぼう_Qチップ,きゅうちっぷ_Qティップ,きゅうてぃっぷ",0
Q-value,"Q値,きゅうあたい",0
Q.E.D.,"証明完了,しょうめいかんりょう_証明終わり,しょうめいおわりわり_証明されるべきであったところのもの,しょうめいされるべきであったところのもの_Q.E.D.,きゅう.いー.でぃ.",0
Q.P. Corporation,"キユーピー,きゆーぴー",0
q.v.,"〈ラテン語〉～を参照せよ,〈らてんご〉～をさんしょうせよ_任意の量に,にんいのりょうに",0
Qa'em Shahr,"ガーエムシャフル,がーえむしゃふる",0
Qa'en,"ガーエン,がーえん",0
Qabdo,"チャムド,ちゃむど",0
Qachasnek,"カチャズネク,かちゃずねく",0
Qadamgah,"ガダムガーフ,がだむがーふ",0
Qadarite,"カダル派の人,かだるはのにん",0
Qaderabad,"ガーデラーバード,がーでらーばーど",0
Qaeda,"〈アラビア語〉カイーダ,〈あらびあご〉かいーだ",0
Qaeda-trained,"アルカイダで訓練を受けた,あるかいだでくんれんをうけた",0
Qaemieh,"ガーエミーイェ,がーえみーいぇ",0
Qagan Us,"チャガンウス,ちゃがんうす",0
Qahar Youyi Qianqi,"チャハル右翼前旗,ちゃはるうよくまえはた",0
Qahar Youyi Zhongqi,"チャハル右翼中旗,ちゃはるうよくなかはた",0
Qahavand,"ガハーヴァンド,がはーゔぁんど",0
Qahderijan,"ガフデリージャーン,がふでりーじゃーん",0
Qahirah,"カヒラ,かひら",0
Qala i Naw,"カラナウ,からなう",0
Qala Nau,"カラナウ,からなう",0
Qala-e Basir,"カラーイ・バシール,からーい・ばしーる",0
Qala-e-Basir,"カラーイ・バシール,からーい・ばしーる",0
Qala-i-Jangi,"カラ・イ・ジャンギとりで,から・い・じゃんぎとりで",0
Qalandarabad,"ガランダラーバード,がらんだらーばーど",0
Qalat Bishah,"ビーシャ,びーしゃ",0
Qalat-i-Ghilzais,"カラーテ・ギルザーイ,からーて・ぎるざーい",0
Qaleh-ye Now,"カラナウ,からなう",0
Qalyub,"カルユーブ,かるゆーぶ",0
qanat,"カナート,かなーと",0
Qanat as Suways,"スエズ運河,すえずうんが",0
Qanavat,"ガナヴァート,がなゔぁーと",0
Qandahar,"カンダハール,かんだはーる",0
Qantas Airways Ltd.,"カンタス航空,かんたすこうくう",0
qapik,"ガピック,がぴっく",0
Qara,"カラ,から",0
Qara Chai,"カラチャイ川,からちゃいかわ",0
qaraqul,"《動物》カラク(ー)ル羊,《どうぶつ》からく(ー)るひつじ_〔コートなどを作る〕カラクル毛皮［羊毛］,〔こーとなどをつくる〕からくるけがわ［ようもう］",0
Qarchak,"ガルチャク,がるちゃく",0
Qareh Aghaj,"ガルエアーガージュ,がるえあーがーじゅ",0
Qareh Su,"カレ川,かれかわ",0
Qarkilik,"チャルキリク,ちゃるきりく",0
Qarqan,"チェルチェン,ちぇるちぇん",0
Qaryat al Ulya,"カリヤト・エル・ウリヤ,かりやと・える・うりや",0
Qasemabad,"ガーセマーバード,がーせまーばーど",0
qasida,"《韻律》カシーダ,《いんりつ》かしーだ",0
Qasr-e Shirin,"ガスレ・シーリーン,がすれ・しーりーん",0
Qassam-2,"(新型)カッサム2号ロケット弾,(しんがた)かっさむにごうろけっとだん",0
Qatabanian,"カタバーン人,かたばーんにん",0
Qatar Central Bank,"カタール中央銀行,かたーるちゅうおうぎんこう",0
Qatari,"カタールの,かたーるの_カタール人,かたーるにん",0
Qatif,"カティーフ,かてぃーふ",0
Qatna,"カトナ,かとな",0
Qatrana,"カトラーナ,かとらーな",0
Qattara Depression,"ムンクハファッド・アル・カターラ盆地,むんくはふぁっど・ある・かたーらぼんち",0
qawali,"カッワーリー,かっわーりー",0
qawwali,"〈アラビア語〉カバーリ,〈あらびあご〉かばーり_カッワーリー,かっわーりー",0
Qayen,"カーイン,かーいん",0
Qayrwan,"カイルワーン,かいるわーん",0
Qazvin,"カズビーン,かずびーん",0
QBE Insurance Ltd.,"QBEインシャアランス・リミテッド,きゅうびーいーいんしゃあらんす・りみてっど",0
QE,"共犯者に不利な証言をする,きょうはんしゃにふりなしょうげんをする",0
Qebehsenuef,"《古エジプト》ケベフセネフ,《こえじぷと》けべふせねふ",0
Qena,"ケーナ,けーな",0
Qeshm,"キシム,きしむ_キシム島,きしむしま",0
Qeydar,"ゲイダール,げいだーる",0
QFRTB,"〈豪俗〉おなかいっぱいではち切れそうだ［破裂しそうだ］,〈ごうぞく〉おなかいっぱいではちきれそうだ［はれつしそうだ］",0
qi,"《東洋医学》気,《とうよういがく》き",0
Qiabuqia,"チャプチャ,ちゃぷちゃ",0
Qian,"チエン,ちえん",0
Qiandao Lake,"千島湖,せんしまみずうみ",0
Qianhan,"前漢(王朝),まえかん(おうちょう)_チンハン・ワンチャオ,ちんはん・わんちゃお",0
Qianyang,"チエンヤン,ちえんやん",0
Qiaojia,"巧家県,こういえけん",0
qibla,"〈アラビア語〉キブラ,〈あらびあご〉きぶら_イスラム教徒が礼拝する方角,いすらむきょうとがれいはいするほうがく",0
qiblah,"〈アラビア語〉キブラ,〈あらびあご〉きぶら_イスラム教徒が礼拝する方角,いすらむきょうとがれいはいするほうがく",0
Qiemo,"且末県,かつまつけん",0
Qift,"キフト,きふと",0
Qigong,"気功,きこう",0
Qijiang,"チーチヤン,ちーちやん",0
Qilian,"祁連県,けれんけん",0
qilin,"麒麟,きりん",0
Qimen,"チーメン,ちーめん",0
Qin,"秦王朝,しんおうちょう_秦,しん_チン・ワンチャオ,ちん・わんちゃお_しん,しん_チン,ちん",0
Qina,"キナー,きなー",0
qindarka,"qintarの複数形,qintarのふくすうけい",0
Qing,"《中国》清,《ちゅうごく》きよし_チン,ちん",0
qing-geng-cai,"チンゲンサイ,ちんげんさい_青梗菜,あおきょうな",0
Qingan,"慶安県,よしあんけん",0
Qingchuan,"青川県,あおかわけん",0
Qingdao,"チンタオ,ちんたお",0
Qinggang,"青岡県,あおおかけん",0
Qinghai,"〔中国の〕青海省,〔ちゅうごくの〕せいかいしょう",0
Qingjian,"清澗県,きよしかんけん",0
Qingjiang,"チンチヤン,ちんちやん",0
Qingliu,"清流県,せいりゅうけん",0
Qingshan county,"泰山郡,たいざんぐん",0
Qingshen,"青神県,あおかみけん",0
Qingshui,"清水,しみず_チンシュイ,ちんしゅい",0
Qingshuihe Xian,"清水河県,しみずかわけん",0
Qingtian,"青田県,あおたけん",0
Qingtongxia,"青銅峡市,せいどうきょうし",0
Qingxin,"清新県,せいしんけん",0
Qingxu,"清徐県,きよしじょけん",0
Qingyang,"チンヤン,ちんやん",0
Qingyuan,"清苑,きよしえん_チンユワン,ちんゆわん",0
Qingyun,"慶雲県,よしくもけん",0
Qingzhou,"青州市,せいしゅうし",0
Qinhai,"青海,せいかい_青海省,せいかいしょう_チンハイ,ちんはい_せいかい,せいかい",0
Qinhaihu,"青海湖,せいかいみずうみ_チンハイフー,ちんはいふー_せいかいこ,せいかいこ",0
Qinhuangdao,"秦皇島,しんこうしま_チンホワンタオ,ちんほわんたお_しんこうとう,しんこうとう",0
qintar,"キンタール,きんたーる",0
Qinzhou,"チンチョウ,ちんちょう",0
qiong-hua,"《植物》ケイカ,《しょくぶつ》けいか",0
Qionghai,"瓊海市,けいうみし",0
Qiqihar,"斉斉哈爾,せいせいごうじ_チ・チ・ハル,ち・ち・はる",0
Qir,"ギール,ぎーる",0
qirsh,"カルシュ,かるしゅ",0
Qishan,"チーシャン,ちーしゃん",0
Qishon,"キション川,きしょんかわ",0
Qitai,"チータイ,ちーたい",0
Qitaihe,"七台河,しちだいかわ_チー・タイ・ホー,ちー・たい・ほー",0
Qiubei,"丘北県,おかきたけん",0
Qiyas,"キヤース,きやーす",0
Qizan,"キーザーン,きーざーん",0
Qizil Uzun,"キジルウズン川,きじるうずんかわ",0
QLogic Corporation,"キューロジック・コーポレーション,きゅーろじっく・こーぽれーしょん",0
Qods,"ゴドゥス,ごどぅす",0
qof,"クォフ,くぉふ_コーフ,こーふ",0
Qom,"コム,こむ",0
qoph,"クォフ,くぉふ_コーフ,こーふ",0
Qoqek,"チョチェク,ちょちぇく",0
Qorbeh Darjazin,"ゴルヴェイェ・ダルジャズィーン,ごるゔぇいぇ・だるじゃずぃーん",0
Qorqabad,"ゴルガーバード,ごるがーばーど",0
Qorveh,"ゴルヴェ,ごるゔぇ",0
Qraish,"クライシュ族,くらいしゅぞく",0
qte,"引用始まり,いんようしまり_《手紙》以下ご参考,《てがみ》いかごさんこう",0
Qu'Appelle,"カペル川,かぺるかわ",0
Quaalude,"クアールード,くあーるーど",0
Quabbin Reservoir,"クオビン湖,くおびんみずうみ",0
quabird,"《鳥》ゴイサギ,《とり》ごいさぎ",0
quack,"アヒルの鳴き声,あひるのなきごえ_ガーガー,がーがー_クワックワッ,くわっくわっ_騒々しい話し声,そうぞうしいはなしごえ_騒音,そうおん_騒々しさ,そうぞうしさ_〔アヒルなどが〕ガーガー鳴く,〔あひるなどが〕がーがーなく_ぺちゃくちゃしゃべる,ぺちゃくちゃしゃべる_無駄口を利く,むだくちをきく_偽医者,にせいしゃ_やぶ医者,やぶいしゃ_ほら吹き,ほらふき_ヤマ師,やまし_偽医者の,にせいしゃの_いんちきな,いんちきな_いかさまの,いかさまの_はったりを言う,はったりをいう_(人)にいんちき療法を行う,(にん)にいんちきりょうほうをおこなう_誇大に宣伝する,こだいにせんでんする",0
quack-quack,"ガーガー,がーがー",0
quacker,"〈話〉〔アヒルのように〕ガーガーと鳴くもの［しゃべる人］,〈はなし〉〔あひるのように〕がーがーとなくもの［しゃべるにん］",0
Quacker,"〔トムとジェリーの〕クワッカー,〔とむとじぇりーの〕くわっかー",0
quackery,"似非［いんちき］療法［治療］,えせ［いんちき］りょうほう［ちりょう］",0
quacksalver,"偽医者,にせいしゃ",0
quackupuncture,"いんちき鍼療法,いんちきはりりょうほう",0
