word,meanings,score
P,"P,ぴー",0
P Is for Peril,"危険のP,きけんのぴー",0
P'anmunjom,"パンムンジョム,ぱんむんじょむ",0
P'ohang,"ポハン,ぽはん",0
P'unggi,"プンギ,ぷんぎ",0
P'yongan nam,"ピョンアンナム,ぴょんあんなむ",0
P'yonggang,"ピョンガン,ぴょんがん",0
P'yongsong,"ピョンソン,ぴょんそん",0
P'yongyang,"ピョンヤン,ぴょんやん",0
P-2,"対潜哨戒機,たいせんしょうかいき",0
P-2J,"対潜哨戒機,たいせんしょうかいき",0
P-3,"対潜哨戒機,たいせんしょうかいき",0
P-3C,"対潜哨戒機,たいせんしょうかいき",0
p-benzenediol,"p-ベンゼンジオール,ぴーまいなすべんぜんじおーる",0
p-book,"紙の本,かみのほん",0
p-chloromercuribenzoate,"p-塩化第二水銀安息香酸,ぴーまいなすえんかだいにすいぎんあんそくこうさん",0
p-dihydroxybenzene,"p-ジヒドロキシベンゼン,ぴーまいなすじひどろきしべんぜん",0
p-dimethylaminobenzaldehyde,"p-ジメチルアミノベンズアルデヒド,ぴーまいなすじめちるあみのべんずあるでひど",0
P-frame,"Pフレーム,ぴーふれーむ",0
P-glycoprotein,"P-糖タンパク,ぴーまいなすとうたんぱく",0
p-hydroxymercuribenzoate,"p-ヒドロキシ水銀安息香酸,ぴーまいなすひどろきしすいぎんあんそくこうさん",0
p-hydroxyphenylethylamine,"パラヒドロキシフェニルエチルアミン,ぱらひどろきしふぇにるえちるあみん",0
p-machine,"疑似マシン,ぎじましん",0
p-methoxybenzaldehyde,"p-メトキシベンズアルデヒド,ぴーまいなすめときしべんずあるでひど",0
p-methoxyphenol,"p-メトキシフェノール,ぴーまいなすめときしふぇのーる",0
p-nitrophenylhydrazine,"p-ニトロフェニルヒドラジン,ぴーまいなすにとろふぇにるひどらじん",0
p-process,"p過程,ぴーかてい",0
p-toluenesulfonate,"p-トルエンスルホン酸塩,ぴーまいなすとるえんするほんさんしお",0
P-trap,"防臭弁,ぼうしゅうべん",0
P.J.,"PJ,ぴーじぇー",0
P.K. And the Kid,"青春のランナウェイ,せいしゅんのらんなうぇい",0
P.O.W. The Escape,"P.O.W.／地獄からの脱出,ぴー.おう.だぶる.／じごくからのだっしゅつ",0
P.S. Corporation,"ピー・エス,ぴー・えす",0
P.T. Garuda Indonesia,"ガルーダ・インドネシア航空,がるーだ・いんどねしあこうくう",0
pa'anga,"パーアンガ,ぱーあんが",0
Pa-an,"パアン,ぱあん",0
paan,"パーン,ぱーん",0
Paarl,"パール,ぱーる",0
Paauilo,"パーウイロ,ぱーういろ",0
Pabianice,"パビャニツェ,ぱびゃにつぇ",0
pablum,"エネルギー源,えねるぎーげん_陳腐な考え,ちんぷなかんがえ",0
Pabna,"パーブナ,ぱーぶな",0
pabulum,"栄養物,えいようもの_基礎資料,きそしりょう_燃料,ねんりょう_糧,かて",0
Pac-Man,"パックマン,ぱっくまん",0
paca,"パカ,ぱか",0
Pacaraima,"パカライマ山脈,ぱからいまさんみゃく",0
pacarana,"パカラナ,ぱからな",0
Pacasmayo,"パカスマヨ,ぱかすまよ",0
pace,"一歩,いっぽ_歩幅,ほはば_ペース,ぺーす_歩調,ほちょう_足並み,あしなみ_歩く速度,あるくそくど_歩き方,あるきかた_速さ,はやさ_速度,そくど_テンポ,てんぽ_歩態,ほたい_側対歩,がわついほ",0
pacemaker,"ペースメーカー,ぺーすめーかー_先導役,せんどうやく_リーダー,りーだー_先導者,せんどうもの_歩調取り,ほちょうとり",0
pacemaking,"ペース設定,ぺーすせってい",0
pacer,"ペースメーカー,ぺーすめーかー_側対歩馬,がわついほうま_ペーサー,ぺーさー",0
pacesetter,"ペースメーカー,ぺーすめーかー_リーダー,りーだー_先導者,せんどうもの",0
paceway,"競馬の練習場,けいばのれんしゅうじょう",0
Pachamama,"パチャママ,ぱちゃまま",0
Pachayachachic,"パチャヤチャチク,ぱちゃやちゃちく",0
pachinko,"パチンコ,ぱちんこ",0
Pachinko Pachislot Security Information Organization,"遊技産業不正対策情報機構,ゆうぎさんぎょうふせいたいさくじょうほうきこう",0
pachisi,"インドすごろく,いんどすごろく",0
Pachuca,"パチュカ,ぱちゅか",0
pachuco,"パチューコ,ぱちゅーこ",0
pachyblepharon,"瞼縁肥厚症,まぶたへりひこうしょう",0
pachycephalosaur,"パキケファロサウルス,ぱきけふぁろさうるす",0
pachycheilia,"口唇肥厚症,こうしんひこうしょう",0
pachydactyly,"指趾肥厚,ゆびしひこう",0
pachyderm,"厚皮動物,あつしかわどうぶつ",0
pachyderma,"皮膚肥厚,ひふひこう_強皮症,きょうかわしょう",0
pachydermoperiostosis,"強皮骨膜症,きょうかわほねまくしょう",0
pachyglossia,"厚舌症,あつししたしょう",0
pachymeningitis,"硬髄膜炎,こうずいまくえん",0
pachymeninx,"硬膜,こうまく",0
pachymeter,"パキメーター,ぱきめーたー_厚さ計,あつさけい_測厚器,そくあつしうつわ",0
pachynsis,"病的肥厚,びょうてきひこう",0
pachyonychia,"爪肥厚症,つめひこうしょう",0
pachyotia,"巨耳症,きょみみしょう",0
pachyperiostitis,"肥厚性骨膜炎,ひこうせいこつまくえん",0
pachypleuritis,"肥厚性胸膜炎,ひこうせいむねまくほのお",0
pachysandra,"フッキソウ属の多年草,ふっきそうぞくのたねんそう",0
pachytene,"太糸期,たいとき_原糸期,はらいとき",0
pachyvaginalitis,"肥厚性鞘膜炎,ひこうせいさやまくほのお",0
